tweet_id,keyword
1059592562762223617,demas
1059592562762223617,hassnassar
1059606746065485824,ucl
1059606746065485824,bocarejo
1059606746065485824,jp
1059606746065485824,davilajulio
1059606746065485824,intalinclac
1059606746065485824,dpu
1059606746065485824,transmilenio
1059606746065485824,mdpi
1059606746065485824,urbandemog
1059606746065485824,uniandes
1059606746065485824,revertible
1059606746065485824,dhidalgo65
1059857182844436480,transporte
1059857182844436480,historia
1059867225224560640,bogota
1059867225224560640,comparaciones
1059867225224560640,caracas
1059867225224560640,transmilenio
1059867225224560640,buses
1059867225224560640,felipe
1059867225224560640,tmilenio
1059894851829989376,javierhdez
1059894851829989376,persea
1059894851829989376,apis
1059894851829989376,bluradioco
1059894851829989376,canas
1059894851829989376,transmilenio
1059894851829989376,dizque
1059894851829989376,pasado
1059823382819229697,historia
1059823382819229697,fin
1059823382819229697,transmilenio
1059823382819229697,medios
1059823382819229697,coro
1059954439119953920,veces
1059954439119953920,concejodebogota
1059954439119953920,danielsampero
1059954439119953920,juankarloslos
1059954439119953920,partidoliberal
1059954439119953920,juandiegosoyyo
1059954439119953920,onjliberales
1059954439119953920,maferojas
1059954439119953920,carloscarrilloa
1059954439119953920,transmilenio
1059954439119953920,mauriciogomezco
1058156867472576514,sur
1058156867472576514,mapas
1058156867472576514,subete
1059951982964850689,ma?³vil
1059951982964850689,gracias
1059951982964850689,inconvenientes
1059951982964850689,servicio
1059951982964850689,saludos
1059770571683184640,dia?©sel
1059770571683184640,transmilenio
1059940770180984833,colombia
1059940770180984833,transmilenio
1059940770180984833,funcionamiento
1059940770180984833,europeos
1059940770180984833,ca?¡maras
1059940770180984833,cultura
1059940770180984833,tegnologa?­a
1059940770180984833,bluradioco
1059651597934960640,enriquepenalosa
1059651597934960640,chechomorales91
1059651597934960640,bogota
1059651597934960640,transmilenio
1058403771460608000,sitp
1058403771460608000,germania
1059647851746095105,llantas
1059647851746095105,sitp
1059647851746095105,muerte
1059647851746095105,foto
1059788329712017408,bogota?¡
1059788329712017408,chiste
1059788329712017408,bluradioco
1059921925831565313,bogota
1059921925831565313,animalesbog
1059464449730453504,transmilenio
1059853815669800961,kennedy
1059853815669800961,mapas
1059853815669800961,subete
1059810234972209153,pesos
1059810234972209153,tarifa
1059785517393420288,cambios
1059785517393420288,atencia?³n
1059785517393420288,ojo
1058048964807852032,pasaje
1056996295456579585,estacia?³n
1056996295456579585,calle
1056996295456579585,marcha
1056996295456579585,novedad
1056996295456579585,momento
1056996295456579585,saludos
1059788063747047424,jungkook
1059788063747047424,ruido
1059788063747047424,sitp
1059788063747047424,performance
1059938745678548993,pasaje
1059938745678548993,enriquepenalosa
1059938745678548993,funcionarios
1059938745678548993,operarios
1059956408194686976,transmilenio
1059956408194686976,enriquepenalosa
1059956408194686976,bogota
1057730335163736070,nov
1059811276619218944,madre
1059811276619218944,regalos
1059811276619218944,jarda?­n
1059811276619218944,sobrino
1059811276619218944,amarisbermudez
1059811276619218944,alvarou43342224
1059811276619218944,castrochavista
1059811276619218944,hijo
1058756881454383104,ciudad
1058756881454383104,polo
1058756881454383104,transmilenio
1058756881454383104,izq
1058756881454383104,bluradioco
1058756881454383104,ecopetrol
1058756881454383104,corrupcia?³n
1058330910075092993,bogota?¡
1058330910075092993,corrupcia?³n
1058330910075092993,chatarras
1058330910075092993,sitp
1059790681605058560,transmilenio
1059790681605058560,laverdades
1059790681605058560,busesnuevosentransmi
1059929216077176833,bogota
1059929216077176833,enriquepenalosa
1059929216077176833,mocos
1059929216077176833,polucia?³n
1059929216077176833,beneficio
1059811873535725571,engaa?±o
1059811873535725571,moda
1059811873535725571,criminal
1059761574402056192,norte
1059761574402056192,mapas
1059761574402056192,subete
1059819336251117573,transmilenio
1059819336251117573,bolsillo
1059835514017193985,lafm
1059835514017193985,florez
1059835514017193985,leosierra065
1059835514017193985,manolitosalazar
1059835514017193985,lasillacachaca
1059835514017193985,juandiegoalvira
1059835514017193985,enriquepenalosa
1059786950830383109,transmilenio
1059786950830383109,argumentos
1059786950830383109,gerente
1059786950830383109,bluradioco
1059786950830383109,buses
1059634405227008001,ipoduje
1059634405227008001,sergioferg
1059634405227008001,gnavastalero
1059634405227008001,pedrobortiz
1059634405227008001,intiasprilla
1059634405227008001,enriquepenalosa
1059634405227008001,yohirakerman
1059634405227008001,transmilenio
1059634405227008001,mjsarmientoa
1059634405227008001,bogotalogica
1059869370451742722,felipe
1059869370451742722,estudio
1059869370451742722,ps
1059869370451742722,transmilenio
1059869370451742722,od
1059869370451742722,bosque
1059785819312021505,flota
1059785819312021505,jp
1059785819312021505,bocarejo
1059785819312021505,bogota
1059785819312021505,parte
1059785819312021505,planes
1059785819312021505,enriquepenalosa
1059785819312021505,uds
1059785819312021505,ciudad
1059791873244647424,transmilenio
1059791873244647424,enriquepenalosa
1059791873244647424,arttesano
1059791873244647424,elespectador
1059791873244647424,camiloprietoval
1059791873244647424,cloquis
1059630238643249152,transmilenio
1059630238643249152,hijos
1059630238643249152,felipe
1059630238643249152,da?­a
1057606493011431425,trancones
1059845522746499072,tullaveplus
1059845522746499072,gente
1059845522746499072,transmilenio
1059845522746499072,ruta
1059845522746499072,aplicacia?³n
1059845522746499072,pasajes
1059845522746499072,letreros
1059826840683061250,increible
1059826840683061250,transmilenio
1058912849664397312,transmilenio
1058912849664397312,aforerom
1058912849664397312,pea?±alosa
1059685014940598272,santamariauribe
1059685014940598272,transmilenio
1059685014940598272,motos
1059685014940598272,triciclos
1059685014940598272,noticias
1059274053855444993,muchacho
1059274053855444993,sitp
1059274053855444993,transmilove
1059274053855444993,holatodos
1059274053855444993,mkkdas
1059274053855444993,ruta
1059822469681438722,mmmaldonadoc
1059822469681438722,transmilenio
1059822469681438722,susanamuhamad
1059822469681438722,jerojasrodrigue
1059822469681438722,hollmanmorris
1059270551095701504,sys
1059270551095701504,ensegundos
1059270551095701504,sdv
1059270551095701504,alinstante
1059270551095701504,devuelta
1059270551095701504,personas
1059270551095701504,noviembre2018
1059270551095701504,bicicleta
1059270551095701504,siguemeytesigo
1059915127267512322,enriquepenalosa
1059778756464635909,hora
1059778756464635909,pasajeros
1059778756464635909,bogota
1059778756464635909,boyaca?¡
1059778756464635909,cercana?­a
1059778756464635909,progreso
1056883186465230848,actualizacia?³n
1056883186465230848,favor
1056883186465230848,bus
1056883186465230848,gracias
1059564426796376065,amigos
1059564426796376065,vaaaaaa
1059918757802508288,transmilenio
1059918757802508288,buses
1059918757802508288,canalcapital
1056996732951822336,artemio226
1056996732951822336,bogota
1056996732951822336,transmilenio
1059804940040921089,busesnuevosentransmi
1059801652742574080,salvavidas
1059801652742574080,empatia
1059801652742574080,raperos
1059801652742574080,transmilenio
1059801652742574080,dios
1059788762933288960,transmilenio
1059788762933288960,minambienteco
1058615029094932480,transmisia?³n
1058615029094932480,nuevosbusesentransmi
1058615029094932480,envivo
1059854200593702912,transmilenio
1059854200593702912,laverdades
1059854200593702912,busesnuevosentransmi
1059878403707408384,viejos
1059878403707408384,transmilenio
1059878403707408384,bogota?¡
1056727530365992960,chapinero
1056727530365992960,mapas
1056727530365992960,subete
1056727530365992960,sitp
1058415992190177281,enriquepenalosa
1058415992190177281,ciudad
1059784861299499018,vagancia
1059784861299499018,pasajes
1059784861299499018,subsidios
1059784861299499018,negocio
1059784861299499018,albertobernalle
1059784861299499018,sitp
1059784861299499018,vago
1059784861299499018,aguant
1059784861299499018,oligarca
1059866817525624832,clararbelaez
1057274214988857344,apd
1057274214988857344,aware
1059953771181207552,transmilenio
1059953771181207552,enriquepenalosa
1059953771181207552,chechomorales91
1059953771181207552,conpes
1059933979736969216,enriquepenalosa
1059933979736969216,transmilenio
1059933979736969216,ojo
1059782800805638145,transmilenio
1058302830157684736,alcalda?­a
1058302830157684736,petroca?­nico
1059897110374608897,sitp
1059897110374608897,rutas
1059897110374608897,ciudad
1059897110374608897,ojoaldato
1059897110374608897,c701
1059897110374608897,ajustes
1059897110374608897,recorridos
1059897110374608897,viaje
1059897110374608897,detalles
1059875645965115398,sitp
1059908665640140802,weareaerisheart
1059908665640140802,weareoneexo
1059908665640140802,acuerdo
1059908665640140802,exolover86
1059908665640140802,cinemarkcol
1059908665640140802,boyaca
1059908665640140802,sitp
1059908665640140802,colina
1059908665640140802,pm
1059908665640140802,casa
1059908665640140802,minutos
1059808659558068225,rutas
1059808659558068225,bici
1059808659558068225,enriquepenalosa
1059808659558068225,transmilenio
1059808659558068225,wilsonruizr
1059808659558068225,mamertadas
1059808659558068225,mutis
1059808659558068225,recorridos
1059808659558068225,cont
1059890108118261761,pirryenpelota
1059890108118261761,transmilenio
1059890108118261761,bicicletas
1059890108118261761,bogota
1059931369793560576,bogota
1059931369793560576,transmilenio
1059931369793560576,artemio226
1059931369793560576,ofensas
1059931369793560576,neeeeees
1058171841947295744,presidente
1058171841947295744,sitp
1058171841947295744,ivaacanastafamiliar
1058171841947295744,presupuesto
1058171841947295744,corrupcia?³n
1058171841947295744,losbonosdeagua
1058171841947295744,reficar
1058171841947295744,odebrecht
1059807729760591872,transmilenio
1059807729760591872,gustavobolivar
1059807729760591872,contrato
1059440390552645632,transmilenio
1059440390552645632,champipollo
1059440390552645632,garciacolorad0
1059440390552645632,lugave20
1059440390552645632,occidente
1059440390552645632,sentido
1059440390552645632,cuchiwolff
1057403429537099776,ciudad
1057403429537099776,medias
1058709222953811968,colados
1059778225210081281,articulados
1059778225210081281,total
1059778225210081281,pa?³dcast
1059778225210081281,gas
1056943111635722242,bus
1056943111635722242,sitp
1056943111635722242,propa?³sito
1056943111635722242,bogota?¡
1056943111635722242,casa
1056943111635722242,personas
1056943111635722242,enriquepenalosa
1059756961061916672,servicio
1059756961061916672,paa?­ses
1059756961061916672,buses
1059756961061916672,aire
1059762585124421632,transmilenio
1059762585124421632,hs
1059762585124421632,buses
1059762585124421632,pizarromariajo
1059762585124421632,monyrica
1059776084135297024,migueluribet
1059776084135297024,transmilenio
1059776084135297024,salvajismo
1059776084135297024,animales
1059776084135297024,estaciones
1057978962729689088,subterraneo
1057978962729689088,privado
1057978962729689088,mariacalvarezs
1057978962729689088,marlonagtemfc
1057978962729689088,diegotrujillod
1057978962729689088,ninavero24
1057978962729689088,petro
1058036979865214981,alza
1059788031195078656,bocarejo
1059788031195078656,enriquepenalosa
1059788031195078656,jp
1058062939691851778,ipoduje
1058062939691851778,pedrobortiz
1058062939691851778,jaimeortiz2006
1058062939691851778,sergioferg
1058062939691851778,intiasprilla
1058062939691851778,gnavastalero
1058062939691851778,enriquepenalosa
1058062939691851778,bogotalogica
1058062939691851778,transmilenio
1058062939691851778,matadoreltiempo
1058062939691851778,volvo
1058062939691851778,cordoba
1059599781344043009,transmilenio
1059599781344043009,comentario
1059907632117493761,transmilenio
1059907632117493761,petardo
1059887571973693441,transmilenio
1059887571973693441,partidoverdecol
1059887571973693441,maferojas
1059784095734079488,jp
1059784095734079488,servicio
1059784095734079488,sectormovilidad
1059784095734079488,usuarios
1059784095734079488,bocarejo
1059784095734079488,tortura
1059784095734079488,enriquepenalosa
1059822477923123200,cars
1059822477923123200,deliver
1059792282868740096,transmilenio
1059792282868740096,circulacia?³n
1059792282868740096,avance
1059792282868740096,adjudicacia?³n
1059792282868740096,sosporelaire
1059619172110483456,serviciosocialperda?­
1059619172110483456,reembolso
1059619172110483456,saldo
1059619172110483456,sticker
1059619172110483456,principito
1059822534563188739,buses
1059822534563188739,da?©cadas
1059822534563188739,petro
1059822534563188739,transmilenio
1059822534563188739,bobolitro
1059913311511347201,bogota
1059913311511347201,transmilenio
1059623598409834497,rutas
1059623598409834497,prensa
1059623598409834497,despliegue
1059623598409834497,sitp
1059623598409834497,ciudad
1059623598409834497,servicio
1059623598409834497,pea?±alosa
1058521054757425160,sitp
1058521054757425160,transmilenio
1059633792393076736,vida
1059633792393076736,transmilenio
1059633792393076736,contratos
1059633792393076736,bogota?¡
1059633792393076736,nojoda?¡snoseanhps
1059805610072596480,realidad
1059805610072596480,pirryenpelota
1059805610072596480,transmilenio
1059805610072596480,perjuicios
1059805610072596480,seguidores
1057059543979581443,centro
1057059543979581443,sitp
1057059543979581443,fotos
1057059543979581443,plaza
1059835298413207552,bogota
1059789369597403137,asunto
1059789369597403137,transmilenio
1059789369597403137,bluradioco
1058735796373651458,sitp
1058735796373651458,colados
1058735796373651458,bogotacity
1059918926195376128,fa?¡brica
1059918926195376128,terreno
1059918926195376128,aporte
1059815848955834369,enriquepenalosa
1059815848955834369,culturaenbta
1059815848955834369,migueluribet
1059815848955834369,canalcapital
1059815848955834369,idubogota
1059820244250824704,elespectador
1059820244250824704,arttesano
1059820244250824704,cloquis
1059820244250824704,camiloprietoval
1059820244250824704,pasajeros
1059820244250824704,enriquepenalosa
1059820244250824704,luisernestogl
1059820244250824704,ii
1059820244250824704,pizarromariajo
1059859021224665089,culo
1059859021224665089,rodrigo
1059859021224665089,lara
1059859021224665089,verdad
1059161374939594752,ciudad
1059815898826096646,ta?£o
1059815898826096646,boi
1059815898826096646,transmilenio
1059857938012090368,falacia
1059857938012090368,imagen
1059857938012090368,ingeniero0013
1059857938012090368,nicolasamon
1059857938012090368,estaciones
1059857938012090368,btr
1059857938012090368,felipecruz95
1059950859554119680,condenados
1059950859554119680,bus
1059893230089703424,transmilenio
1059893230089703424,enriquepenalosa
1059951488452190214,ud
1059951488452190214,enriquepenalosa
1059951488452190214,transmilenio
1059951488452190214,bogota
1059951488452190214,felipe
1059788825625612288,reporte
1059788825625612288,informacia?³n
1059818687719505920,arribabogota
1059818687719505920,florez
1059818687719505920,lafm
1059818687719505920,manolitosalazar
1059818687719505920,leosierra065
1059818687719505920,lasillacachaca
1059854802698543105,transmilenio
1059854802698543105,adquisicia?³n
1059854802698543105,alcalda?­a
1059854802698543105,ciudad
1059854802698543105,chiste
1059854802698543105,jajajajajaja
1059854802698543105,gerente
1059854802698543105,negocito
1059842623672934400,jp
1059842623672934400,bocarejo
1059842623672934400,buses
1059842623672934400,sectormovilidad
1059842623672934400,bogota
1059842623672934400,petro
1059854735262539776,gradualidad
1059854735262539776,sosporelaire
1059854735262539776,busesnuevosentransmi
1058471579666075653,buses
1058471579666075653,pasaje
1058471579666075653,bogota?¡
1059798221277540352,pea?±alosa
1059798221277540352,petro
1059798221277540352,volvo
1059798221277540352,transmilenio
1059798221277540352,periodistas
1059798221277540352,scania
1059865879582773248,seguridadbog
1059865879582773248,gobiernobta
1059865879582773248,mindefensa
1059865879582773248,jgarciag1
1059865879582773248,transmilenio
1059865879582773248,enriquepenalosa
1059865879582773248,policiacolombia
1059912495249481729,juan
1059912495249481729,florez
1059912495249481729,enriquepenalosa
1059912495249481729,transmilenio
1059821357272391682,sectores
1059821357272391682,ma?¡x
1059821357272391682,ciudad
1059821357272391682,da?­a
1059821357272391682,chimeneas
1059832286449934336,and
1059832286449934336,driver
1059832286449934336,oscarescobar87
1059832286449934336,transmilenio
1058562644695752704,mariorobertop
1058562644695752704,va?©
1058562644695752704,camioneros
1058562644695752704,sautonorte
1058562644695752704,nicolasamon
1058562644695752704,transmilenio
1058562644695752704,cuento
1059859019156910081,ajam
1059811479963217920,gerente
1059811479963217920,transmilenio
1059914852947423234,canalcapital
1059914852947423234,enriquepenalosa
1059855788351598594,canalcapital
1059855788351598594,transmilenio
1059855788351598594,enriquepenalosa
1059855788351598594,ela?¨ctricos
1059795250728919040,transmilenio
1059795250728919040,sa
1059795250728919040,ecopetrol
1059795250728919040,compromiso
1059795250728919040,sosporelaire
1057110024378638338,tomandose
1057110024378638338,clima
1057301270917193730,transmilenio
1057301270917193730,coherencia
1057301270917193730,ivanduque
1056980445336879104,ok
1056980445336879104,esposo
1056980445336879104,sitp
1056980445336879104,auda?­fonos
1056980445336879104,personas
1056980445336879104,amor
1059771716954742784,oigannn
1059771716954742784,manzana
1059771716954742784,transmilenio
1059861895941885952,comuneros
1059861895941885952,bloqueos
1059861895941885952,estudiantes
1059861895941885952,estamostrabajando
1059861895941885952,conti
1059861895941885952,nqs
1059779431848390656,marica
1059779431848390656,transmilenio
1059779431848390656,hvon
1059779431848390656,astrid
1059779431848390656,testiga
1059779431848390656,coraza?³n
1059779431848390656,hueva
1059629078536511490,ciudadbogota??
1059629078536511490,carril
1059629078536511490,veedores
1059629078536511490,transmilenio
1059629078536511490,pdta
1059629078536511490,ejercicio
1059629078536511490,personas
1059629078536511490,santamariauribe
1059813534140456960,bogota?¡
1059813534140456960,transmilenio
1058699746494296066,va?­as
1058699746494296066,alimentadores
1059816062043242497,norte
1059816062043242497,mapas
1059816062043242497,subete
1058131748259799040,cuadras
1058131748259799040,resultado
1058131748259799040,sur
1058131748259799040,moto
1058131748259799040,sitp
1058131748259799040,auto
1058131748259799040,polica?­a
1059594884733169669,petro
1059594884733169669,reclamos
1059594884733169669,engendro
1059594884733169669,dia?©sel
1059594884733169669,carlosfgalan
1059594884733169669,enriquepenalosa
1059594884733169669,trinos
1059604115393822720,fuarez
1059604115393822720,cagadas
1059604115393822720,hombre
1059604115393822720,fiasco
1059604115393822720,oskarabus
